Country,date,total_cases_per_million,total_deaths_per_million,GDP_per_capita,GDP_Status,death_category
Singapore,2022-04-25,209714.988,235.053,85535.383,High,200 - 1999 Dead
Slovakia,2022-04-25,314489.617,3515.4,30155.152,Average,3000+ Dead
Slovenia,2022-04-25,474069.542,3612.06,31400.84,Average,3000+ Dead
Solomon Islands,2022-04-25,19581.041,193.298,2205.923,Lowest,Under 200 Dead
Somalia,2022-04-25,1505.043,77.34,NA,NA,Under 200 Dead
South Africa,2022-04-25,62772.503,1674.595,12294.876,Low,200 - 1999 Dead
South Korea,2022-04-25,326724.694,429.271,35938.374,High,200 - 1999 Dead
South Sudan,2022-04-25,1597.886,12.645,1569.888,Lowest,Under 200 Dead
Spain,2022-04-25,250237.959,2220.354,34272.36,Average,200 - 1999 Dead
Sri Lanka,2022-04-25,30375.387,755.858,11669.077,Low,200 - 1999 Dead
Sudan,2022-04-25,1325.143,105.196,4466.507,Lowest,Under 200 Dead
Suriname,2022-04-25,128310.838,2147.089,13767.119,Low,200 - 1999 Dead
Sweden,2022-04-25,237022.398,1782.574,46949.283,High,200 - 1999 Dead
Switzerland,2022-04-25,411729.414,1513.191,57410.166,High,200 - 1999 Dead
Syria,2022-04-25,2521.78,142.371,NA,NA,Under 200 Dead
Tajikistan,2022-04-25,1787.037,12.559,2896.913,Lowest,Under 200 Dead
Tanzania,2022-04-25,517.148,12.26,2683.304,Lowest,Under 200 Dead
Thailand,2022-04-25,58103.862,387.394,16277.671,Low,200 - 1999 Dead
Timor,2022-04-25,17043.192,96.921,6570.102,Lowest,Under 200 Dead
Togo,2022-04-25,4178.806,30.852,1429.813,Lowest,Under 200 Dead
Tonga,2022-04-25,89391.487,102.932,5425.621,Lowest,Under 200 Dead
Trinidad and Tobago,2022-04-25,93977.765,2489.153,28763.071,Average,200 - 1999 Dead
Tunisia,2022-04-25,84130.968,2309.221,10849.297,Low,200 - 1999 Dead
Turkey,2022-04-25,175955.594,1156.592,25129.341,Average,200 - 1999 Dead
Turks and Caicos Islands,2022-04-25,129926.081,787.298,NA,NA,200 - 1999 Dead
Uganda,2022-04-25,3472.073,76.128,1697.707,Lowest,Under 200 Dead
Ukraine,2022-04-25,124836.884,2663.989,7894.393,Lowest,200 - 1999 Dead
